PING 18.185.126.92 (18.185.126.92) 56(84) bytes of data.
64 bytes from 18.185.126.92: icmp_seq=1 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=2 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=3 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=4 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=5 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=6 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=7 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=8 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=9 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=10 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=11 ttl=36 time=233 ms
64 bytes from 18.185.126.92: icmp_seq=12 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=13 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=14 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=15 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=16 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=17 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=18 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=19 ttl=36 time=237 ms
64 bytes from 18.185.126.92: icmp_seq=20 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=21 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=22 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=23 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=24 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=25 ttl=36 time=233 ms
64 bytes from 18.185.126.92: icmp_seq=26 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=27 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=28 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=29 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=30 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=31 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=32 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=33 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=34 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=35 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=36 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=37 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=38 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=39 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=40 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=41 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=42 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=43 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=44 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=45 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=46 ttl=36 time=232 ms
64 bytes from 18.185.126.92: icmp_seq=47 ttl=36 time=232 ms
