edgeip,edgeport,clientip,clientport,segid,rawYaw,rawPitch,rawRoll,clienreqts,edgereqts,edgerecvts,clientrecvts
140.114.77.125,9487,140.114.77.125,36420,3,-120.036058333,0.103563888889,-3.993,1524380472.727,1524380478.625,1524380478.931,1524380479.038
140.114.77.125,9487,140.114.77.125,36444,3,-120.036058333,0.103563888889,-3.993,1524380480.324,1524380486.213,1524380486.519,1524380486.635
