edgeip,edgeport,clientip,clientport,segid,rawYaw,rawPitch,rawRoll,clienreqts,edgereqts,edgerecvts,clientrecvts
140.114.77.125,9487,140.114.77.125,48164,3,-120.036058333,0.103563888889,-3.993,1524062132.68,1524062138.62,1524062138.911524062139.01,
140.114.77.125,9487,140.114.77.125,48192,3,-120.036058333,0.103563888889,-3.993,1524062142.22,1524062148.19,1524062148.481524062148.58,
140.114.77.125,9487,140.114.77.125,48216,3,-120.036058333,0.103563888889,-3.993,1524062150.54,1524062156.47,1524062156.761524062156.86,
