cloudip,cloudport,edgeip,edgeport,clientip,clientport,segid,Yaw,Pitch,Roll,clienreqts,edgerecv,edgereqts,edgestartrecvts,edgeendrecvts,clientrecvts,filesize
140.114.77.170,80,140.114.77.125,19487,140.114.77.125,57426,3,-120.036058333,0.103563888889,-3.993,1524811453.764047,1524811453.764190,1524811462.220652,1524811462.220674,1524811462.519380,1524811462.636240,2624331
140.114.77.170,80,140.114.77.125,19487,140.114.77.125,57450,3,-120.036058333,0.103563888889,-3.993,1524811464.992631,1524811464.992732,1524811473.444605,1524811473.444629,1524811473.741248,1524811473.853474,2624331
140.114.77.170,80,140.114.77.125,19487,140.114.77.125,57474,3,-120.036058333,0.103563888889,-3.993,1524811475.171413,1524811475.171505,1524811483.597751,1524811483.597771,1524811483.895150,1524811484.017753,2624331
