PING 35.183.47.103 (35.183.47.103) 56(84) bytes of data.
64 bytes from 35.183.47.103: icmp_seq=30 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=31 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=32 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=33 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=34 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=35 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=36 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=37 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=38 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=39 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=40 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=41 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=42 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=43 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=44 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=45 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=46 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=47 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=48 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=49 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=50 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=51 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=52 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=53 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=54 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=55 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=56 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=57 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=58 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=59 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=60 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=61 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=62 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=63 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=64 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=65 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=66 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=67 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=68 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=69 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=70 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=71 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=72 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=73 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=74 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=75 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=76 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=77 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=78 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=79 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=80 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=81 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=82 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=83 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=84 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=85 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=86 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=87 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=88 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=89 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=90 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=91 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=92 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=93 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=94 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=95 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=96 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=97 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=98 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=99 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=100 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=101 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=102 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=103 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=104 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=105 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=106 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=107 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=108 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=109 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=110 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=111 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=112 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=113 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=114 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=115 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=116 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=117 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=118 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=119 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=120 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=121 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=122 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=123 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=124 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=125 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=126 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=127 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=128 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=129 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=130 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=131 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=132 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=133 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=134 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=135 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=136 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=137 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=138 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=139 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=140 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=141 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=142 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=143 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=144 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=145 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=146 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=147 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=148 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=149 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=150 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=151 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=152 ttl=39 time=209 ms
64 bytes from 35.183.47.103: icmp_seq=153 ttl=39 time=209 ms
