PING 18.228.24.236 (18.228.24.236) 56(84) bytes of data.
64 bytes from 18.228.24.236: icmp_seq=89 ttl=41 time=325 ms
64 bytes from 18.228.24.236: icmp_seq=90 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=91 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=92 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=93 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=94 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=95 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=96 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=97 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=98 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=99 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=100 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=101 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=102 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=103 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=104 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=105 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=106 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=107 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=108 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=109 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=110 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=111 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=112 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=113 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=114 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=115 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=116 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=117 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=118 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=119 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=120 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=121 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=122 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=123 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=124 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=125 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=126 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=127 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=128 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=129 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=130 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=131 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=132 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=133 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=134 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=135 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=136 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=137 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=138 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=139 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=140 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=141 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=142 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=143 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=144 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=145 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=146 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=147 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=148 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=149 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=150 ttl=41 time=326 ms
64 bytes from 18.228.24.236: icmp_seq=151 ttl=41 time=324 ms
